INFO 2025-07-15 15:17:36,367 basehttp "GET /api/pelamar/lamaran/ HTTP/1.1" 200 3382
INFO 2025-07-15 15:17:36,379 basehttp "GET /api/pelamar/lamaran/ HTTP/1.1" 200 3382
INFO 2025-07-15 15:17:40,150 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:17:40,153 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:17:40,968 basehttp "GET /api/v1/informasi/ HTTP/1.1" 200 240
INFO 2025-07-15 15:17:40,971 basehttp "GET /api/v1/informasi/ HTTP/1.1" 200 240
INFO 2025-07-15 15:17:41,496 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:17:41,499 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:17:44,445 basehttp "GET /api/v1/informasi/ HTTP/1.1" 200 240
INFO 2025-07-15 15:17:44,447 basehttp "GET /api/v1/informasi/ HTTP/1.1" 200 240
INFO 2025-07-15 15:17:45,687 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:17:45,706 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:17:45,720 basehttp "GET /api/pelamar/lamaran/ HTTP/1.1" 200 3382
INFO 2025-07-15 15:17:45,730 basehttp "GET /api/pelamar/lamaran/ HTTP/1.1" 200 3382
INFO 2025-07-15 15:19:26,097 basehttp "POST /api/auth/logout/ HTTP/1.1" 200 37
INFO 2025-07-15 15:19:26,270 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:19:26,270 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:19:26,280 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:19:26,280 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:20:50,186 basehttp "GET /admin/users/user/ HTTP/1.1" 200 18762
INFO 2025-07-15 15:20:50,266 basehttp - Broken pipe from ('127.0.0.1', 49915)
INFO 2025-07-15 15:20:50,277 basehttp - Broken pipe from ('127.0.0.1', 49917)
INFO 2025-07-15 15:20:50,324 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2025-07-15 15:20:50,529 log Not Found: /favicon.ico
INFO 2025-07-15 15:20:50,530 basehttp - Broken pipe from ('127.0.0.1', 49913)
INFO 2025-07-15 15:20:52,996 basehttp "POST /api/auth/google/ HTTP/1.1" 200 381
INFO 2025-07-15 15:20:53,053 basehttp "GET /api/me/ HTTP/1.1" 200 465
INFO 2025-07-15 15:20:53,177 basehttp "GET /api/v1/dashboard-stats/ HTTP/1.1" 200 358
INFO 2025-07-15 15:20:53,270 basehttp "GET /api/v1/dashboard-stats/ HTTP/1.1" 200 358
INFO 2025-07-15 15:20:56,885 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:20:56,901 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:20:56,986 basehttp "GET /api/v1/lamaran/? HTTP/1.1" 200 5798
INFO 2025-07-15 15:20:56,986 basehttp "GET /api/v1/lamaran/? HTTP/1.1" 200 5798
INFO 2025-07-15 15:20:59,367 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:20:59,374 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:21:01,402 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
